iter	MultiClass
0	1.527976259
1	1.459140125
2	1.392647392
3	1.323232232
4	1.26902143
5	1.231423892
6	1.195633527
7	1.159194041
8	1.122926605
9	1.082509968
10	1.058749644
11	1.014499257
12	0.9871589682
13	0.9619237964
14	0.9312632598
15	0.9064097015
16	0.8834752453
17	0.8656562903
18	0.846622343
19	0.8249766576
20	0.8065523624
21	0.7904529789
22	0.7756251192
23	0.755964455
24	0.7412583959
25	0.7258135611
26	0.7145840327
27	0.703046742
28	0.6940050858
29	0.6798007377
30	0.6674605384
31	0.6543640173
32	0.6453877581
33	0.634512609
34	0.6232465976
35	0.6153288536
36	0.6030031794
37	0.5919193571
38	0.5793167154
39	0.5718849323
40	0.5645521258
41	0.5570072458
42	0.5508088943
43	0.5425149174
44	0.5344600516
45	0.5279670417
46	0.521849273
47	0.5159693009
48	0.5122334714
49	0.505086134
50	0.4978729375
51	0.4912457431
52	0.486097566
53	0.4802594873
54	0.4761281909
55	0.4717889103
56	0.4685232934
57	0.4625431155
58	0.4579041624
59	0.4526723491
60	0.4461446769
61	0.4420126558
62	0.4374010078
63	0.4347099553
64	0.4294478633
65	0.4255483345
66	0.4201061949
67	0.4161560976
68	0.4136532057
69	0.4098487769
70	0.4059557702
71	0.4018652081
72	0.3970372724
73	0.3923409873
74	0.3900164356
75	0.3872482213
76	0.3824012265
77	0.3792452372
78	0.3757299449
79	0.3732772302
80	0.3708149847
81	0.3685194629
82	0.3641222787
83	0.3606689217
84	0.3584620071
85	0.3562879556
86	0.3520721119
87	0.3485572771
88	0.3465432209
89	0.3442117932
90	0.3397558812
91	0.3369586266
92	0.3342410809
93	0.3302358327
94	0.3284456505
95	0.3257599772
96	0.3246216089
97	0.3230706177
98	0.3206915399
99	0.3200185491
100	0.3181711262
101	0.3153321826
102	0.3128049957
103	0.3091854036
104	0.3059583388
105	0.3040024223
106	0.301480369
107	0.3000751825
108	0.2960921278
109	0.2931628572
110	0.2909744685
111	0.2878685704
112	0.287339629
113	0.2856889956
114	0.2842719733
115	0.28154049
116	0.2805417108
117	0.2790901049
118	0.2769418355
119	0.2752719887
120	0.2747248146
121	0.2728831452
122	0.2726994505
123	0.2698780304
124	0.2687707732
125	0.267171043
126	0.2666195224
127	0.2656678891
128	0.2642379985
129	0.2624539203
130	0.2608400048
131	0.260249105
132	0.2590913589
133	0.2579392934
134	0.2563835561
135	0.2545474895
136	0.2529939707
137	0.2524445345
138	0.2520899513
139	0.2514163027
140	0.2488612581
141	0.2485216552
142	0.2478670099
143	0.2473959478
144	0.2459929363
145	0.2457512007
146	0.2441633196
147	0.2425821276
148	0.2413421099
149	0.2405547971
150	0.2388437216
151	0.2370787611
152	0.2365561608
153	0.2364410512
154	0.2335877811
155	0.2333605221
156	0.2328531069
157	0.2325708554
158	0.2314363462
159	0.2300326363
160	0.2295201224
161	0.2277346786
162	0.2272885732
163	0.2259210932
164	0.224907885
165	0.2242104442
166	0.223491832
167	0.222612377
168	0.2212775358
169	0.2202778321
170	0.2194941558
171	0.2188427276
172	0.2179430627
173	0.2170083033
174	0.2164072532
175	0.2162011889
176	0.2155882512
177	0.2144563323
178	0.2136147264
179	0.2133787694
180	0.2126507485
181	0.2114840801
182	0.2098833258
183	0.209451525
184	0.2089111514
185	0.2086606533
186	0.208441185
187	0.2080785145
188	0.2078206682
189	0.2076015035
190	0.2073091378
191	0.2061340245
192	0.2050803348
193	0.2045654511
194	0.2037803174
195	0.2036005902
196	0.2026232982
197	0.2016383938
198	0.2012294071
199	0.2010843175
200	0.2002747391
201	0.1994122732
202	0.1989290124
203	0.1986605555
204	0.1985322383
205	0.1983635769
206	0.1979466512
207	0.1977348412
208	0.1969586637
209	0.1961401123
210	0.196044639
211	0.1948281703
212	0.1946336904
213	0.1945073274
214	0.1942802056
215	0.1934096627
216	0.1930707228
217	0.1918286911
218	0.1915745086
219	0.1914449813
220	0.1906161413
221	0.1904479947
222	0.1897209071
223	0.1888828896
224	0.1884319504
225	0.1881919214
226	0.1880554422
227	0.1869993177
228	0.1857734155
229	0.1849811349
230	0.1848746328
231	0.1842622077
232	0.1838447987
233	0.1837286862
234	0.1836198421
235	0.1823334864
236	0.182221091
237	0.1814453969
238	0.1811785862
239	0.1808965478
240	0.1797247287
241	0.1795536328
242	0.1790004985
243	0.1788554698
244	0.1782809233
245	0.1771693581
246	0.1770592434
247	0.1761345834
248	0.1754921542
249	0.1750377275
250	0.1744230057
251	0.1743583349
252	0.1742213677
253	0.1738240393
254	0.1737235178
255	0.1730974953
256	0.1727728193
257	0.1727037522
258	0.1722947049
259	0.1721714021
260	0.1720291895
261	0.1718532729
262	0.1707478183
263	0.1706529743
264	0.1703584818
265	0.1700685371
266	0.1696343226
267	0.1694966498
268	0.1694088531
269	0.1688634824
270	0.1687367546
271	0.168317268
272	0.1676690059
273	0.1670602444
274	0.1669707683
275	0.1667250727
276	0.1664703682
277	0.1662859482
278	0.1659411395
279	0.1654038635
280	0.1651995171
281	0.1643919113
282	0.1643098656
283	0.1635743534
284	0.1633558454
285	0.1628846672
286	0.1627807748
287	0.1621489174
288	0.1620733828
289	0.1619756477
290	0.1614812579
291	0.1611757394
292	0.160930449
293	0.1606061589
294	0.1598851087
295	0.1595579025
296	0.159143491
297	0.1582722034
298	0.1582088048
299	0.1581126287
300	0.1575914331
301	0.1569625185
302	0.1566195519
303	0.1560653152
304	0.1559715031
305	0.1549655793
306	0.1547978188
307	0.1545247483
308	0.1543992121
309	0.1542057055
310	0.1540854542
311	0.1540037294
312	0.1539001474
313	0.153820879
314	0.1532841102
315	0.1528772648
316	0.1527680274
317	0.1525860774
318	0.1525101775
319	0.1519343054
320	0.1518115125
321	0.1514538004
322	0.1508961479
323	0.1500689519
324	0.1499399104
325	0.1494062123
326	0.149016364
327	0.1489555752
328	0.148859122
329	0.1488033687
330	0.1487191117
331	0.1482595503
332	0.147369812
333	0.1471210844
334	0.1466829859
335	0.1464894605
336	0.1462685285
337	0.1462182236
338	0.1460868725
339	0.1452636359
340	0.1447029347
341	0.1439927323
342	0.1439430368
343	0.1438816371
344	0.1433865594
345	0.1433012991
346	0.1432291548
347	0.1427046795
348	0.1426153035
349	0.1424988651
350	0.1423956151
351	0.142231655
352	0.1421515348
353	0.1420274499
354	0.1418212034
355	0.1414636942
356	0.1413490343
357	0.1410341017
358	0.1408648537
359	0.140461853
360	0.140001104
361	0.1399105
362	0.1392743146
363	0.1388888901
364	0.1388136176
365	0.1387172728
366	0.1386617286
367	0.1385774732
368	0.138470697
369	0.137949537
370	0.1378922321
371	0.1377670842
372	0.1374322692
373	0.1371103878
374	0.1360583625
375	0.1358160869
376	0.1356851986
377	0.1356049652
378	0.1353765473
379	0.1353220289
380	0.1352137908
381	0.1348928467
382	0.1348293249
383	0.1347650605
384	0.134721765
385	0.1346760528
386	0.1345467353
387	0.1343483588
388	0.1340083637
389	0.1338426482
390	0.1337281317
391	0.1335423818
392	0.1334877828
393	0.1330451415
394	0.1321971327
395	0.1320862686
396	0.132014866
397	0.1315824991
398	0.1315220611
399	0.1314253403
400	0.1312451531
401	0.131065863
402	0.1310130121
403	0.1309001006
404	0.130805335
405	0.1307133258
406	0.1305157077
407	0.129856601
408	0.1297873694
409	0.1294253786
410	0.1289127656
411	0.1287291733
412	0.1286393078
413	0.1285307166
414	0.1284650793
415	0.1284152248
416	0.1280710187
417	0.1275768707
418	0.1274264615
419	0.127381463
420	0.1272951679
421	0.1272376042
422	0.1271443953
423	0.1270612077
424	0.1266468045
425	0.1265752168
426	0.1262436845
427	0.126164775
428	0.1260633376
429	0.1260140265
430	0.125496027
431	0.1251205927
432	0.1250601026
433	0.124971544
434	0.1248426738
435	0.1247906117
436	0.1244282268
437	0.12438599
438	0.1242656235
439	0.1240093922
440	0.1236596224
441	0.1231196443
442	0.1230256915
443	0.1229715268
444	0.1229263484
445	0.1228638657
446	0.1227598902
447	0.1220301823
448	0.1219814381
449	0.1218905784
450	0.1217854568
451	0.1215422901
452	0.1211812363
453	0.1211176506
454	0.1210835734
455	0.1208610169
456	0.1207806768
457	0.1207435292
458	0.1206691685
459	0.1206180031
460	0.1204244367
461	0.1203674173
462	0.1203222608
463	0.1202792189
464	0.1199900008
465	0.1199140185
466	0.1197811691
467	0.1197312397
468	0.1191197504
469	0.1189482404
470	0.118894648
471	0.1186440341
472	0.1185962975
473	0.1185554986
474	0.1179901697
475	0.1179009039
476	0.1175043499
477	0.1174229218
478	0.117381148
479	0.1172814705
480	0.1172002117
481	0.1169941302
482	0.1169447375
483	0.1163963313
484	0.1161254019
485	0.1158850565
486	0.1155604511
487	0.1155040098
488	0.1151420095
489	0.115091977
490	0.1150261403
491	0.1147979611
492	0.1145741562
493	0.1145013158
494	0.1144681539
495	0.1144074758
496	0.1140752591
497	0.1137056306
498	0.113631483
499	0.1135391009
500	0.1127421887
501	0.1126248978
502	0.1119607028
503	0.1118691578
504	0.1118291618
505	0.1117492685
506	0.1116822035
507	0.1113173601
508	0.1110638413
509	0.1108895965
510	0.1108506427
511	0.1103585931
512	0.1103057885
513	0.1097095856
514	0.109295707
515	0.1092641316
516	0.1090371904
517	0.1084564317
518	0.1082613284
519	0.1080500695
520	0.1078361374
521	0.1077825667
522	0.1072504855
523	0.1072241531
524	0.1070907224
525	0.1070563368
526	0.1070185775
527	0.106978725
528	0.1069359414
529	0.10678277
530	0.1067176597
531	0.1066814955
532	0.1065809698
533	0.1065499402
534	0.106240486
535	0.1062014394
536	0.1059532301
537	0.105480795
538	0.1053792425
539	0.1053321505
540	0.1052385985
541	0.1051912482
542	0.1048500499
543	0.1046029479
544	0.1045602243
545	0.104525823
546	0.1042026289
547	0.103979189
548	0.1038139413
549	0.1036877225
550	0.1035619304
551	0.1035074445
552	0.1033356338
553	0.1032341712
554	0.103039566
555	0.102662356
556	0.102437113
557	0.1024012626
558	0.1023605301
559	0.10231532
560	0.1022213106
561	0.1021617707
562	0.1021075212
563	0.1016631395
564	0.1014161357
565	0.1010508012
566	0.1009173284
567	0.1008733897
568	0.1008005759
569	0.1004483372
570	0.1001924705
571	0.1001600664
572	0.09978069575
573	0.09963181387
574	0.09939578536
575	0.0993629971
576	0.09933233982
577	0.09903250897
578	0.09878045229
579	0.09874740388
580	0.0987092116
581	0.09865696105
582	0.09860840362
583	0.09856176648
584	0.09846665504
585	0.09831918486
586	0.09801883252
587	0.09790492993
588	0.09784428508
589	0.09781492442
590	0.0976405428
591	0.09760675481
592	0.09730177605
593	0.0971564168
594	0.09684718522
595	0.09660581859
596	0.09657402735
597	0.09652034563
598	0.09648129508
599	0.0964140367
600	0.09635807105
601	0.09614275867
602	0.09611534348
603	0.09586139418
604	0.09554387799
605	0.09535949377
606	0.09531445395
607	0.09528038477
608	0.09524188884
609	0.09510890449
610	0.09502804193
611	0.09478863027
612	0.09473714184
613	0.09469195249
614	0.09453978588
615	0.09449123824
616	0.09446198972
617	0.09443160985
618	0.09440248664
619	0.09411601958
620	0.0940932346
621	0.09405950948
622	0.09389576331
623	0.09369530038
624	0.09367582295
625	0.09355575777
626	0.09352945697
627	0.0934927103
628	0.09326346067
629	0.093066529
630	0.09303032466
631	0.09284159183
632	0.09263912414
633	0.09235713665
634	0.09232544212
635	0.0919392826
636	0.09189855617
637	0.09185330105
638	0.09158907394
639	0.09149378561
640	0.09142591296
641	0.09138964928
642	0.09133692388
643	0.09131532581
644	0.09112275192
645	0.09109023142
646	0.09103064586
647	0.09097626234
648	0.09067735331
649	0.09033974766
650	0.09031064063
651	0.09020516944
652	0.09017570225
653	0.08998488135
654	0.08980613674
655	0.08972779403
656	0.08969115849
657	0.08948337922
658	0.0894024758
659	0.08915053097
660	0.08887383935
661	0.08885164313
662	0.08881696988
663	0.08848771128
664	0.08845084021
665	0.08838423004
666	0.08815290529
667	0.08794551735
668	0.08779021046
669	0.08752765544
670	0.08736942377
671	0.08734546111
672	0.08720635653
673	0.08713839267
674	0.08686628491
675	0.08683474803
676	0.08667973676
677	0.08652787104
678	0.08646359074
679	0.08641280541
680	0.08628984215
681	0.08625427881
682	0.08620806304
683	0.08611782831
684	0.0860976732
685	0.08607406145
686	0.08572079268
687	0.08546576237
688	0.08541254876
689	0.08538749207
690	0.0852721173
691	0.0851709613
692	0.0851232346
693	0.08503585555
694	0.08482697775
695	0.08476434061
696	0.08473330827
697	0.08456563574
698	0.08453724103
699	0.08431472378
700	0.08427659898
701	0.08425375026
702	0.08411568419
703	0.08407105281
704	0.08402986193
705	0.08399412229
706	0.08367891966
707	0.08363355692
708	0.0836129364
709	0.08354989803
710	0.08352085497
711	0.08334210154
712	0.08319249174
713	0.08314756607
714	0.08264047418
715	0.08260776153
716	0.08252577912
717	0.0824060679
718	0.08233844631
719	0.08229730308
720	0.08225586013
721	0.08207493288
722	0.08205034698
723	0.08194019613
724	0.08190595217
725	0.08162665461
726	0.08160851073
727	0.08144622867
728	0.08139567057
729	0.08123759816
730	0.08109838336
731	0.08106856757
732	0.08105002727
733	0.08103061161
734	0.08101590288
735	0.0809931394
736	0.08074612874
737	0.08068805725
738	0.08066762422
739	0.0806255321
740	0.08052836695
741	0.08050898585
742	0.08026629899
743	0.08021502877
744	0.08004286273
745	0.07999964785
746	0.07986381641
747	0.07978486134
748	0.07976849598
749	0.07945516402
750	0.07942203448
751	0.07938817313
752	0.07929403193
753	0.07927122362
754	0.07912706473
755	0.07905931724
756	0.07901884877
757	0.07899899009
758	0.07887894375
759	0.07885870646
760	0.07879868435
761	0.07869243559
762	0.07862245755
763	0.07856878628
764	0.07854134414
765	0.07850222896
766	0.07828664767
767	0.07785678342
768	0.07759601755
769	0.07753911115
770	0.07745777827
771	0.07743889908
772	0.07736113754
773	0.07722057882
774	0.07718949708
775	0.07717334861
776	0.07705114827
777	0.07662839605
778	0.07660653556
779	0.07659066274
780	0.0763612751
781	0.07633066254
782	0.07630036604
783	0.07628466054
784	0.07625160715
785	0.07605629859
786	0.07588809491
787	0.07585044393
788	0.07571971851
789	0.07568191552
790	0.07563583252
791	0.07558880678
792	0.07554947555
793	0.07545100273
794	0.07532849378
795	0.07530729485
796	0.07501297458
797	0.07498326561
798	0.07480155666
799	0.07476434119
800	0.07470840341
801	0.07455717462
802	0.07453323167
803	0.07446925219
804	0.07441655526
805	0.07437242701
806	0.0743504395
807	0.07415553699
808	0.07404306094
809	0.07399653251
810	0.07396035364
811	0.07369021071
812	0.07366968871
813	0.0735068353
814	0.07337313448
815	0.07321629385
816	0.07305289089
817	0.07303525236
818	0.07301625198
819	0.07281545363
820	0.07266843858
821	0.07264937527
822	0.07255356977
823	0.07229493704
824	0.072264636
825	0.07220797266
826	0.07216605186
827	0.0721493431
828	0.0718671038
829	0.0718414426
830	0.07180895145
831	0.07177701323
832	0.07173548456
833	0.07169091753
834	0.07166876593
835	0.07165044997
836	0.07161821324
837	0.07159666792
838	0.0714912016
839	0.07147489811
840	0.07136161048
841	0.07134629018
842	0.07111227847
843	0.07102698257
844	0.07099534935
845	0.07088710363
846	0.07080163531
847	0.07077296778
848	0.07067469472
849	0.07049387085
850	0.0704757966
851	0.07045739895
852	0.07027466089
853	0.07007774568
854	0.069930592
855	0.06991530194
856	0.0698109428
857	0.06979397867
858	0.06975340869
859	0.06972805347
860	0.06970866362
861	0.06967132375
862	0.06955223308
863	0.06951940203
864	0.06949627564
865	0.06939101321
866	0.06913137486
867	0.06910832384
868	0.06908803346
869	0.06895835462
