iter	Passed	Remaining
0	94	93976
1	177	88660
2	270	89848
3	362	90290
4	447	88956
5	525	87098
6	607	86154
7	708	87867
8	801	88219
9	892	88398
10	988	88886
11	1077	88714
12	1173	89061
13	1250	88064
14	1334	87655
15	1414	86968
16	1492	86330
17	1576	86014
18	1668	86170
19	1754	85981
20	1836	85613
21	1913	85075
22	1993	84682
23	2072	84301
24	2160	84253
25	2254	84456
26	2332	84072
27	2411	83697
28	2492	83459
29	2572	83162
30	2655	83001
31	2735	82747
32	2843	83316
33	2934	83366
34	3027	83458
35	3103	83112
36	3186	82934
37	3265	82664
38	3344	82412
39	3420	82093
40	3511	82130
41	3601	82141
42	3694	82226
43	3775	82024
44	3852	81754
45	3928	81477
46	4010	81316
47	4085	81020
48	4163	80805
49	4248	80722
50	4341	80781
51	4416	80520
52	4508	80558
53	4597	80539
54	4680	80420
55	4830	81432
56	4922	81433
57	4999	81203
58	5077	80976
59	5161	80866
60	5239	80646
61	5313	80391
62	5393	80218
63	5538	80998
64	5630	80997
65	5711	80829
66	5800	80769
67	5883	80645
68	5972	80579
69	6052	80413
70	6131	80224
71	6211	80061
72	6289	79868
73	6368	79692
74	6446	79500
75	6527	79356
76	6603	79159
77	6685	79030
78	6763	78855
79	6841	78672
80	6915	78455
81	6993	78292
82	7082	78249
83	7161	78091
84	7237	77912
85	7317	77765
86	7395	77608
87	7473	77456
88	7549	77278
89	7629	77147
90	7708	76999
91	7784	76829
92	7860	76662
93	7938	76508
94	8015	76353
95	8103	76308
96	8185	76202
97	8263	76055
98	8338	75891
99	8417	75753
100	8491	75584
101	8569	75443
102	8643	75277
103	8724	75164
104	8802	75034
105	8880	74897
106	8957	74760
107	9034	74618
108	9115	74511
109	9193	74384
110	9269	74241
111	9349	74126
112	9424	73978
113	9501	73843
114	9577	73705
115	9656	73590
116	9737	73490
117	9815	73365
118	9892	73234
119	9971	73123
120	10059	73077
121	10142	72995
122	10223	72897
123	10304	72795
124	10381	72673
125	10460	72556
126	10536	72429
127	10616	72325
128	10694	72210
129	10773	72102
130	10849	71970
131	10924	71834
132	10999	71703
133	11078	71598
134	11157	71491
135	11235	71379
136	11313	71265
137	11392	71161
138	11471	71056
139	11548	70943
140	11627	70838
141	11703	70717
142	11780	70600
143	11860	70501
144	11937	70392
145	12014	70273
146	12094	70182
147	12180	70121
148	12259	70017
149	12336	69907
150	12417	69817
151	12495	69710
152	12572	69600
153	12655	69525
154	12742	69465
155	12823	69379
156	12896	69247
157	12971	69125
158	13044	68997
159	13120	68880
160	13192	68748
161	13268	68637
162	13340	68502
163	13414	68382
164	13489	68265
165	13563	68142
166	13637	68026
167	13712	67910
168	13787	67795
169	13861	67676
170	13935	67558
171	14009	67441
172	14082	67317
173	14163	67233
174	14238	67125
175	14313	67013
176	14385	66890
177	14459	66774
178	14534	66665
179	14614	66577
180	14687	66458
181	14766	66367
182	14841	66257
183	14915	66146
184	14990	66038
185	15065	65930
186	15137	65809
187	15212	65705
188	15285	65591
189	15360	65483
190	15431	65362
191	15507	65261
192	15581	65153
193	15657	65049
194	15731	64944
195	15806	64837
196	15895	64791
197	15973	64702
198	16048	64596
199	16125	64502
200	16202	64408
201	16280	64317
202	16358	64227
203	16440	64150
204	16528	64098
205	16601	63987
206	16674	63878
207	16748	63772
208	16822	63666
209	16895	63560
210	16967	63448
211	17043	63350
212	17116	63242
213	17190	63138
214	17262	63028
215	17340	62938
216	17418	62852
217	17492	62749
218	17566	62644
219	17640	62542
220	17713	62438
221	17789	62344
222	17862	62236
223	17936	62136
224	18009	62031
225	18090	61955
226	18166	61861
227	18242	61768
228	18317	61670
229	18392	61574
230	18466	61475
231	18542	61381
232	18617	61284
233	18690	61184
234	18764	61083
235	18848	61017
236	18918	60907
237	18995	60818
238	19068	60715
239	19142	60617
240	19215	60516
241	19290	60421
242	19365	60328
243	19439	60231
244	19513	60132
245	19590	60046
246	19663	59947
247	19738	59852
248	19812	59756
249	19886	59660
250	19961	59565
251	20034	59468
252	20109	59373
253	20188	59293
254	20260	59193
255	20335	59099
256	20409	59005
257	20482	58907
258	20557	58815
259	20632	58722
260	20703	58620
261	20776	58524
262	20850	58427
263	20925	58336
264	20998	58239
265	21073	58148
266	21147	58056
267	21230	57987
268	21303	57892
269	21377	57797
270	21450	57702
271	21524	57610
272	21598	57516
273	21672	57424
274	21746	57331
275	21821	57242
276	21894	57145
277	21966	57050
278	22041	56959
279	22118	56875
280	22195	56791
281	22270	56703
282	22344	56612
283	22419	56522
284	22492	56429
285	22569	56343
286	22645	56257
287	22720	56171
288	22791	56072
289	22878	56012
290	22951	55919
291	23024	55826
292	23097	55734
293	23171	55642
294	23244	55550
295	23321	55466
296	23394	55375
297	23469	55287
298	23541	55192
299	23616	55106
300	23694	55023
301	23767	54933
302	23840	54840
303	23918	54760
304	23991	54668
305	24066	54581
306	24142	54497
307	24214	54403
308	24289	54318
309	24362	54227
310	24434	54132
311	24509	54047
312	24583	53957
313	24658	53871
314	24730	53778
315	24804	53690
316	24876	53599
317	24952	53514
318	25026	53426
319	25100	53338
320	25174	53250
321	25247	53161
322	25322	53075
323	25397	52990
324	25468	52896
325	25544	52812
326	25616	52721
327	25695	52644
328	25769	52558
329	25841	52466
330	25926	52401
331	25999	52312
332	26072	52223
333	26149	52143
334	26224	52057
335	26297	51969
336	26371	51881
337	26445	51796
338	26519	51709
339	26597	51630
340	26670	51541
341	26744	51455
342	26816	51364
343	26889	51278
344	26978	51220
345	27051	51132
346	27124	51044
347	27198	50958
348	27271	50870
349	27347	50787
350	27419	50699
351	27500	50626
352	27574	50540
353	27646	50450
354	27719	50363
355	27795	50281
356	27868	50195
357	27948	50120
358	28021	50032
359	28094	49946
360	28167	49859
361	28242	49775
362	28315	49688
363	28394	49612
364	28473	49535
365	28547	49451
366	28621	49365
367	28693	49277
368	28768	49194
369	28841	49108
370	28916	49025
371	28990	48941
372	29063	48853
373	29137	48770
374	29213	48689
375	29289	48608
376	29363	48523
377	29437	48438
378	29510	48353
379	29586	48273
380	29660	48187
381	29734	48104
